"id","Label","degree","community",".tidygraph_node_index","component"
"12","ALLEN D",5,"37",445,"5"
"18","BADURDEEN F",8,"5",1072,"2"
"27","BATALDEN M",4,"201",1420,"6"
"28","BATALDEN P",4,"201",1421,"6"
"19","BILGE P",3,"5",1955,"2"
"40","BOSCH H",2,"34",2259,"4"
"48","BRÄNNBACK M",2,"8",2701,"7"
"1","BRIDGENS B",8,"51",2529,"1"
"47","BROWNELL K",3,"8",2635,"7"
"33","CHANG Y",6,"42",3414,"3"
"34","CHOU S",0,"42",3730,"3"
"15","EGUÍA R",0,"37",21472,"5"
"2","FARMER G",7,"51",6001,"1"
"35","FINKBEINER M",1,"42",6248,"3"
"20","GOLDSBY TJ",5,"5",7247,"2"
"3","GOSLING P",6,"51",7347,"1"
"21","GUPTA S",3,"5",7717,"2"
"4","HALL J",7,"51",7888,"1"
"36","HE W",1,"42",8191,"3"
"10","HEIDRICH O",0,"51",23093,"1"
"11","HOFER C",0,"51",25194,"1"
"13","HUSTED B",1,"37",9011,"5"
"22","IYENGAR D",2,"5",9262,"2"
"23","JAWAHIR IS",2,"5",9433,"2"
"16","KOCK N",0,"37",21473,"5"
"29","LACHMAN P",1,"201",10959,"6"
"26","LIYANAGE JP",0,"5",21987,"2"
"41","MANDA B",5,"34",12379,"4"
"30","MARGOLIS P",0,"201",12478,"6"
"5","MARTIN M",0,"18",12576,"1"
"24","METTA H",0,"5",13097,"2"
"49","MULLOTH B",1,"8",13667,"7"
"37","NEUGEBAUER S",0,"42",14000,"3"
"31","OGRINC G",0,"201",14356,"6"
"42","PATEL M",3,"34",14853,"4"
"6","POWELL M",4,"51",15429,"1"
"7","REED E",3,"51",15920,"1"
"50","ROBB C",1,"8",16189,"7"
"8","ROYAPOOR M",2,"51",16483,"1"
"51","RUMI S",0,"8",23178,"7"
"43","SCHUSTER K",2,"34",17141,"4"
"25","SELIGER G",0,"5",17244,"2"
"14","SHONNARD D",0,"37",17552,"5"
"17","SOONGSWANG A",0,"37",21474,"5"
"44","TAYLOR J",1,"34",18671,"4"
"45","TERINTE N",0,"34",18733,"4"
"39","THOMAS H",0,"3",22412,"3"
"32","VANHAECHT K",0,"201",22259,"6"
"9","WALSH C",1,"51",19857,"1"
"38","WANG J",0,"1",19904,"3"
"46","WORRELL E",0,"34",20421,"4"
